"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87","Z88","Z89","Z90","Z91","Z92","Z93","Z94","Z95","Z96","Z97","Z98","Z99","Z100","Z101","Z102","Z103","Z104","Z105","Z106","Z107","Z108","Z109","Z110","Z111","Z112","Z113","Z114","Z115","Z116","Z117","Z118","Z119","Z120","Z121","Z122","Z123","Z124","Z125","Z126","Z127","Z128","Z129","Z130","Z131","Z132","Z133","Z134","Z135","Z136","Z137","Z138","Z139","Z140","Z141","Z142","Z143","Z144","Z145","Z146","Z147","Z148","Z149","Z150","Z151","Z152","Z153","Z154","Z155","Z156","Z157"
"SC119",-0.710663672905521,-8.23041745483284,16.8730630964391,-0.368860201502902,-8.07135777204288,-1.11116141070071,-0.0782358846114259,-0.398067780709988,0.212815131298766,-1.33538770230758,1.42402748255897,2.78161950500686,2.32459951735712,0.570117178416305,-0.823221859026015,3.87165776768663,0.338388603584652,-2.36549006757177,-11.4275243465078,-6.70113102133213,-0.153104972287979,5.94265252281466,0.433208239521425,-2.34745936107093,6.51207978444224,3.51851012800972,-1.85715043478362,0.959325088560118,-0.982353297334568,-0.0388746493019325,1.00388005284461,-0.864864556816394,-0.488854479949269,1.97821199782525,0.360615957792165,-0.129542666954004,-0.104808062520094,-0.744126085861774,-19.4929118826627,-1.50914841710422,1.67831514281395,-1.25528968460352,-0.433889855715601,-2.74951914699843,1.56683700695196,-0.848586527110866,-0.862312751090509,-0.111746952950911,0.895472344675843,0.164720202566946,-1.70838418785232,-2.11583707576085,1.14756209530995,7.38429218893457,-0.801691297993655,1.24440178900139,2.3437348441076,0.288462615717963,147.451183282365,-14.9689768073905,0.934009375347958,-0.31066434378168,1.15230970500992,-0.207269348159274,-0.766486458868677,-1.87784671161663,0.112740477543513,4.00683898065706,1.68862930291572,-5.38356617933074,0.544385542358491,0.81400991619072,4.16908729276515,-0.547903907159359,-185.709504956453,-0.0484963329552578,2.45204979181471,0.999771720913706,-1.4411430598346,-0.20311831232798,-1.82662073817448,-0.839773120134965,-0.519400623931488,1.57776345993225,-2.17819318754138,-1.27429803374116,38.6762346951681,3.84301991346648,11.5305080421748,1.92710473205953,-1.35928861417718,-0.623889075756356,2.20252392624687,3.43272447680211,-1.18822517796023,-1.82716071316292,-18.9292690563719,1.21894467365708,-0.958762071342612,2.03360771350365,-5.16473189353735,2.25143913989154,1.34330188318229,0.685300782230937,-9.44248421783247,7.76344008129569,-0.0408551788799054,-2.36483364928808,0.954959164458897,-0.679069552866279,0.590115807062014,2.19777913112001,-0.0243704762115185,-4.00142738203287,0.140025359092328,4.4642788913796,26.8893680605054,-22.0352377091146,0.971552788710545,-1.35069125776627,-0.332079588917879,-0.362134379612385,-2.48843588429912,-0.550642374202796,0.278686297723315,5.37562836210247,0.414075723001213,-0.446221182248512,5.77260972496803,-1.12408191818897,-0.85713048924204,-4.3373281013409,1.01241467019294,0.350323893192475,-0.591702269027854,0.147516038535781,-0.105731770373383,-1.46509430776217,-2.16894046474669,-5.33094768473267,1.51825532036725,-0.240788116471898,0.550189491068493,1.69691971715065,1.62366890510298,0.641546602734142,0.53336444532949,14.2803429125003,-19.9249957601228,-0.673852873723557,-0.89174998726741,-55.4644691459542,-9.17210722573276,-0.73295552737136,-0.98615615604789,-0.710001270713063,-0.190993484831726
"SC185",0.699948988659211,-5.8721686512036,12.1274265864715,-0.297624584220715,-5.73755141596677,0.466252737119142,1.10171273158553,1.13493346344299,1.44750902711941,0.537320804532625,-0.133114964901144,2.02577402459349,3.19332092726553,0.160773169421735,0.636660208270787,2.30201176118625,-1.42328956363107,-2.01069805719636,-8.3026995933573,-4.13991886340066,-1.17650711553319,4.14278669573102,-1.28098790440809,-0.478412942101021,4.11355745341591,2.46709818832798,-1.2944946427941,1.02975055735661,-0.779966570720237,0.11931046974278,0.58418396713701,1.40863628735312,0.169404216614176,-0.292844717563178,-0.376825011960526,1.68558179196868,-1.01897306379419,-0.217081346047314,-14.3666911113912,-0.510027556319706,0.420259591877287,-1.28636299926732,0.0984912312415583,-2.29863047057569,-0.436498787414025,-0.507879030431741,-1.11985635259956,1.0688952903128,0.522484914337822,-0.562843519769762,-1.44347231047735,-1.20034147055587,-0.529338520521717,4.50763265181063,1.00491776037101,-0.515879092507095,-0.569848945196199,-1.08686550387234,101.378845748116,-10.8375400529173,1.35241347130597,0.822039747469041,-0.236057012347296,0.676629752421077,-0.305568052495983,-1.0838803362288,-0.470264869883838,2.07797776935073,-0.150580100257522,-5.85608637370525,1.03714587616317,1.54022558607075,3.59031921053737,1.34122357190982,-131.239110103414,2.55494639850883,-0.448846628206358,-1.25930649797963,1.21972450145187,-0.598900518727184,1.02318167695869,0.689559400154142,0.930086793191063,-0.723282331961896,0.344447632986473,0.469567664866902,27.0042043189522,3.65691710413473,8.06149398063974,0.550806891421381,0.0351005422763134,-0.310855900600762,-0.380194864360613,2.12034723798698,-0.516217318959221,0.182197155635456,-12.6791928475079,-0.136362181954386,-1.47686828998194,0.67542989853895,-3.23969813757859,0.990793961352473,-0.504728300261584,-0.972689338641043,-8.01644291836802,4.69391273967202,0.509538699370083,-1.89897816882866,-0.118620850561091,-0.689780652854501,-1.39622012373075,1.92622778565157,-0.219932232016345,-1.99114153567289,-0.113881456400353,3.85217247866941,17.969486217642,-14.9100838544911,1.02784082533748,0.641332169993334,-1.24214297487893,-0.670438705876284,-1.02755115419978,0.00535383932693962,0.374377063321289,3.41345173306165,-0.139236606890144,0.671966398225149,4.56265679978473,0.756184056153057,-0.862022013779753,-2.43411259734522,0.335457816245438,0.232960006146375,0.27658259294487,-1.17231212943942,-0.338538140594366,0.501236490936727,0.396870823071301,-4.36175337082712,-0.720790908685675,0.113559672593677,0.533908803646618,0.64030804230459,0.174375238047229,-0.223522376892488,-0.670453782937589,8.95255825070249,-14.6612407676977,-0.755021200535857,-0.838938171258519,-39.3286958557468,-6.30141624342958,-1.09548957916015,-0.5310750061671,-0.715212332699788,0.0427407865003051
"SC188",-1.19960985049704,11.5471840515998,-21.4095279991392,-0.365584991751225,9.06330974185801,-0.728378816336999,-0.448555887116696,-0.892503125202421,-0.281000291257538,-0.480802375897731,0.43185676600116,-3.07552826721446,-4.3207349727039,0.40166442643466,-1.04530555433349,-3.01118763849043,-1.43670262491975,2.95418634465913,14.7283990883842,7.09647326672365,0.288136285937851,-6.82797056125881,0.431317068427804,3.59885649775445,-6.64772471700275,-3.41382878392728,-0.166063832911579,-2.2723217721122,-0.417798409098431,0.855159101616221,-1.85694860157778,0.812652685809064,1.04390355995734,-1.45504580249189,-0.639926282193666,-0.433388686167049,1.65959672665827,-0.674144062194894,24.814450946347,0.993359871637214,-3.3740112571439,0.549891818943244,0.930087239942654,3.27617540914647,1.93586668223687,-0.431505802234926,1.9640539857336,-1.51632459606116,-0.661458036319215,0.967225896827923,4.11269973662445,1.15073772982449,-0.211816063232342,-9.84276362324256,-0.172378390227874,-0.369446323160339,0.0665549721101226,1.56463574071938,-181.942766657711,18.6825678844422,-0.661674445575138,-0.219843111561122,0.75562759172681,0.58829180182263,0.101966445280231,2.36363308669571,0.695854381239797,-3.93141719292109,0.265428123653707,7.304347303163,-0.888180029549229,0.212274458021623,-5.99325778724989,0.184558482270335,217.594369644335,-0.297770832319027,-2.72556753834753,0.776192690375733,-0.3476416175476,0.370221896610434,-0.470525427217312,-0.0420206238748297,-1.12142331879691,1.14175831919511,0.802970233601644,-1.18570407325024,-48.5804125132194,-6.24513714081966,-13.6760538829262,-1.13985611396712,-0.632671591481907,-0.549089534533993,-0.457758580109352,-4.41749064388678,0.536716907000786,0.460875350029645,23.3241233271012,-0.711286034277179,0.413272559754762,-0.324468069304838,5.24478736385427,-1.70105769027558,-1.18120026419129,0.292572703514339,11.4094232130639,-9.58545953406648,-0.566849149537304,4.29752720566462,-1.44202389392092,-0.525548320734949,1.28419448376944,-2.37150127789613,-0.28145409428365,3.36474773759384,0.654379762353521,-6.03097298802927,-34.121422412004,24.4073425659918,-1.61219885682671,0.610502002194006,-0.673059652307169,-0.569147239158673,2.41462955747532,1.05939546042438,0.808662846733126,-6.68527898267988,0.357129525309804,1.09326886862937,-8.73822812446004,1.39100014806757,2.46077635912074,6.40753925934607,0.49275826986476,-1.23244876103308,2.59431371808308,-0.624941378102524,-0.0673443701519241,-0.0693110367040614,-0.777521778741629,6.17105396240028,0.506720503466862,0.150153609057618,0.856228243438918,-0.72045417121663,0.391583476367104,-0.465057749302641,-0.213894918117986,-17.3700378961287,22.5231133824134,0.117514141360829,1.72309410823421,63.9035521313157,10.4140119056824,-0.42279698250461,-0.326062548150404,-0.191808147179625,-0.946951870652023
"SC189",-1.495528216383,1.35936725593804,-1.95505623757053,-0.324727186649276,2.36257922703048,1.71937577908474,1.22925370857547,1.48778433449341,0.804707141034156,1.84542904781625,-1.41641073729962,-1.14892806324038,-1.29773683941189,1.16631561143228,-0.299539179205289,0.695534870207463,-0.777815172519543,-2.12251668538799,2.16331013315324,0.570929843124067,-1.41598631313409,1.96105402716315,0.350980443407941,1.91419302081776,0.700871914468532,-2.59081177332204,-0.682475256500152,-2.12085196835738,0.584984498819206,-0.504784297570578,2.43278856326141,0.33013979228452,0.332679879532103,0.272173683310039,0.0683068133060457,-1.73640288078203,0.298882480224889,1.12810655283392,1.37166221498237,-1.30835541085191,-1.34196196050675,1.05422211700601,-0.350537030804048,-1.66667556247894,-0.477079800229567,-0.628441588507267,0.573748666836912,0.428536559215543,-0.581507193368432,-1.08237352599136,0.827157535117197,1.45054562263761,-0.82825228889736,-1.4508800012037,-0.730469332070612,0.119411443988554,-0.597427612558053,-1.09125334849512,-2.15418979233503,2.13122143748051,-1.79121772311667,0.827415492866411,-2.23236317103834,-2.36165709406563,2.61356879649933,-2.07728384654241,0.553952469089491,1.10069693976655,-1.13375833844325,0.590063585585108,-0.115381464281409,-0.942816003247492,-0.123063911603737,-0.872576663403805,11.1849897207735,-0.014036951345001,-0.372477160388132,0.377004718487585,-0.657774954763743,0.110056879030874,-0.149243438335946,0.630424449424484,0.474118286388374,-0.732969371832306,0.509885882546824,-0.432759610574472,-0.779506359922128,-0.971647540624538,-0.826031658469618,-0.153299091558498,-0.919619768867882,0.182212605942585,-0.599953477681182,1.41693614149078,-0.325032748639468,0.29853237827424,2.49233670549216,0.429924283940515,-0.7061483210319,0.528473186264827,-1.00284248039913,1.96918302084782,-0.795185785470529,-1.27231204014147,-1.29380813831006,1.02083058015187,-0.103375048903676,-2.49519045973114,2.11373644382062,0.881277260835194,-1.4593250784715,-1.80756868205967,0.212476011426972,1.03600612571057,-0.431997923188867,-1.55673565199049,1.38076645930949,0.284515425532207,0.55785735352885,0.964623517652637,0.33639736362215,1.27920503442844,2.21241680266636,-0.525239094958082,-0.972252879807324,0.717593030314989,-0.688817112181106,-1.11159523047094,1.10836806244085,0.212699211063594,-2.46546938054345,-2.11774842377015,-1.1532894289491,-0.143097912525051,0.154448085557556,-0.191678450746321,-0.52120630481297,1.33357947310242,0.595366136923161,-0.800964677891162,-0.779324049967709,-0.159488961631881,-0.651968731371073,0.0568281138502521,0.39174078919164,-0.93879066621836,0.370723349694958,-1.83299527108162,0.20275722443299,-0.779593274799206,0.479506919340622,2.84694270561088,0.872139476990203,-0.59293544639788,-0.913248787048306,-0.658242340500539,0.30948429838674
"SC159",0.700437134743056,-0.745635036740419,-0.543445512639542,-0.378389083505251,-0.224182224068401,-0.75441341573143,-0.53025814206676,-0.339537972180632,-0.901389011477895,-0.319953454796507,-0.197822599216367,-0.467156332851138,-0.929216917857466,0.153114527003938,-1.33714244134717,-0.169849352199921,0.662627064882641,0.473174852684009,0.287620772489212,0.606928080361573,1.30918696741372,-0.914786490643842,0.365647373995794,-0.516759185827945,-0.316541226838425,0.263523402780607,0.273591952552472,-0.0477942470801095,1.05818385039774,-0.394117837320375,0.465555071197102,1.08813933967809,-1.57895391546724,0.675983958085181,-0.5603891807636,-0.208568299348147,-0.708067708335941,0.202480436690871,0.0974425803533843,-0.46209035190418,0.788141513200752,0.440668677625629,-1.09187474199764,0.0639985728872739,-0.496771571020033,-0.352187450256347,-0.912844636058141,0.687140079248687,-0.505452722292505,-1.06952610971527,0.0060798204087504,-0.0532066631580186,-0.663930992872542,-0.0809637439790574,-0.990171247095998,-0.909285656831873,0.141016763016709,-0.223354340899185,-7.03393494756114,0.905062442860872,-0.791328966802511,-1.07887757218689,0.559915498383359,-0.110172498698392,-0.420489587095568,0.522563171730676,0.363637020746402,-0.242230991618526,-0.780714760675027,0.437615927120013,-0.201383393894283,-0.442095678894778,-0.0804164011233636,0.221838466346955,13.5729892605115,-0.29315416435704,0.227454594664695,-0.957196543989898,0.472763246859202,-0.9497801215898,-0.122332694011594,-0.807608307786197,-0.745068650884595,-0.610538221590124,0.412910480424384,0.521674724994181,-1.67232572252494,-1.03717713560543,-2.20362949070593,-1.36573202831343,-0.674265787919927,0.136555428600115,-0.810137536271326,0.446961946979454,0.647009835253684,0.776766659406897,0.0812900269452028,0.282743498077163,0.994936552791345,-0.681465166840198,-0.0151365441715595,0.107318214275822,0.216601643346898,0.368733346770111,1.34873277915896,0.811954800591616,-0.0342450365406149,0.0525627954954159,0.56508884251273,-0.695616260592304,0.374709394078583,-1.42914902301756,1.27409647898127,0.540940438282238,-1.36027430696903,0.435463356183798,-1.03320440917879,2.7342088178262,-0.236396682673949,-1.32107511489729,1.3122987418705,1.3672152984667,0.0858602488725767,0.668685699708483,-0.510201167973595,0.349984235085058,0.173604962234461,-1.10645014881586,-0.0145367857083911,-0.370695877620847,0.742940881920676,1.03294701741126,-0.965532074165941,-0.436485645246549,-0.582812037942083,1.48037886745717,-0.0551644760513023,-1.56330942954343,0.269667101884065,0.0231402435914537,0.866394750355117,0.0016404177332319,-0.0800689227374425,-0.630298458552184,0.16844601076837,-0.557704989128788,-0.968662890646693,-0.834217001295205,2.10666392694283,-0.722145318030671,-0.61048550274053,4.63853210623401,0.817896469591918,1.19254545455341,0.294344158774354,2.1649501116936,0.234052332624662
"SC169",0.463329301657841,-3.38241932986177,5.00051356412506,2.6619690276834,-2.35843810639051,0.915001640127944,-0.350144947022265,-0.366788911006945,-0.611802260804176,-0.22612944231803,0.686726056248842,1.3815869214166,0.712140810260493,-1.89383152662562,0.780810988103419,0.265584010169462,0.450634591167982,0.472817429315839,-2.78311471411831,-2.24729090064093,0.584153532805203,1.31329743812537,-1.89298552379011,-1.33140313336286,0.706406311882006,0.88814363969527,0.133712267946051,0.824837859617976,1.25449531778603,-1.51514399505324,-0.102412980675605,-0.572491112482161,-0.678277259066435,-0.565171905152478,2.07368973341818,0.817843100660543,1.00903514165211,-0.162669884779397,-4.96489007180945,0.728208187271201,1.09385261069712,-1.08122238067383,-0.626383237889336,-0.0418243153629214,-0.542826868120084,0.00103868436016466,0.238935797272913,-1.02041519488607,-0.956536894025867,1.00516017384949,-1.09182542949858,-0.715613551524042,1.24042916598089,2.09725109726135,1.07901939408383,-0.0918898325692109,-0.0732005125971787,0.698563146106476,33.7117143921754,-4.12577153853616,0.0300718600177915,-0.179750901062844,0.0657444069310026,-0.195566681429727,-0.532652920429455,-0.853672832254329,-0.447736589534036,-0.774466167655864,1.16233583462871,-0.717363003309087,-0.524912084566308,-0.779097395655029,0.593043823724847,-1.46017183341677,-39.702928963775,-0.458783238687013,1.03582126046261,-1.31820911517433,-1.34728764762743,2.29582376675108,-1.00256095417128,-0.898248026523876,-1.42572231708414,1.08717582635033,-1.45255548422528,-0.999195831066036,9.5177058233654,2.61583877524167,2.51195981374772,0.872174832986125,0.201070045945348,-0.928298934288732,0.325682579798118,1.23238916342419,-1.61996638315051,1.06278426462311,-4.90939784755162,0.66657310394351,-0.237390793534903,-0.693758640597841,-0.656442587596601,-0.115355115412573,-0.223805674820076,-1.05242158579918,-1.40690249344252,1.73053003208996,-0.0680148615228195,-0.403434564204012,-0.919748885497909,0.372796660735686,-0.00741574550726148,1.21220576594884,-0.333586107828058,-0.83102673794628,1.29571184646368,2.53046466021415,6.29480522598604,-3.05160411227948,0.0227201271842188,-0.505739429472285,0.208527526970256,-1.04736369197145,-1.50523832362261,-1.49620878325917,-0.781750202000667,0.311842129017819,0.025590484527294,0.2606602436351,1.63925651007265,-1.49475410947094,-0.3576274780868,-1.01775695141362,1.58861540128664,0.150353000647251,-0.656801895573408,-1.03844932354451,-0.855666649495806,-0.0907126570950773,0.306792071579384,-0.0378658534741307,-0.681745317920244,-0.166518916689737,1.03789807145859,-1.27375692610759,-1.8956003367662,0.157374377521258,0.0729357568520095,4.26955946851757,-3.3338896937462,1.20334456719886,-2.08069976914511,-10.7447459742951,-1.57796469813865,1.39599114700521,1.3462253595055,0.510506153370531,-0.822031945032201
"SC164",0.391771875526114,0.4668629862338,-3.41180879856124,-0.23349450628852,0.300061739490883,-0.555188667525196,-1.74218719923214,-1.25049214668858,-1.43207985893028,-0.748749159495677,-0.832343223744208,-0.766525544071499,1.25318367891369,-1.09804476883897,1.42105562507655,-1.3154861222599,0.740698435223155,0.410780800605758,0.834331846091028,0.375833444153513,1.27938065832455,-1.43317973849988,0.465106792225519,-0.461396435335021,-0.0442211120689248,-0.50122670069771,1.8181284892126,0.563299441340794,-0.777839421542174,1.1755542334222,-0.844471848333789,-0.476345393914111,-0.377701030508484,0.222100157665199,-0.897627806590651,0.938084373486425,-0.990216779103163,-1.26565603521866,1.61657769969121,0.55123147631805,0.765529187936151,0.308118231504793,-1.1223839594237,0.93897269529715,-0.571293631541285,0.809297786414757,-0.590774460919272,-0.2970413897459,1.99018751780375,-0.0210009935599124,-0.522277880789948,0.100546679474998,-1.39018394238611,-1.59879060660675,1.628143448592,-0.305545550339835,-0.934314443952467,-0.0510247047576809,-22.0531602714156,1.30044344490818,-0.571323135123261,-1.56876926007378,0.624566055473821,-0.0497994191127713,-0.388226228922062,0.737789575454754,0.629634818065301,-1.22406038913791,-0.58612818056015,-0.503038814199566,-0.916320904754343,0.439085140397609,-0.137307839360255,0.440122448756143,22.2239710203784,-0.482351589080441,-1.30417068565519,-0.0702345052675148,0.410186227980954,-0.680121972781698,0.907069781404226,-1.06713474785524,0.740158178698907,-0.704256151812705,0.466902038700684,1.19618161798226,-5.75027030750669,0.407666578618013,-2.28637189679511,-0.246349810335539,0.80470081482714,0.0714292870075589,0.500266949437446,-1.84514203961246,0.886103113356833,-0.0772240036209344,2.28851562787212,0.775093131324698,0.0804340423109265,-0.995789325771618,1.63329667799659,-0.972111108286949,1.69379933727485,1.07444293856752,2.04120628094831,-2.3317594011164,-0.318167809871134,0.821936323814531,-0.730639535964837,-0.696378017940764,0.614254638664726,0.194827756367404,-0.139006172965856,-0.567650135143842,0.0647711130118173,-1.33482291301203,-4.82802915879071,2.1650549494801,-0.168825579231042,-0.140011692017956,-0.685914882711039,-1.04254660160772,-0.615534811601892,-0.147930792254696,0.085350612884676,-1.72959075493301,0.29780953080784,-1.15676647950253,-1.00983903781171,-0.426976148007249,0.343509119688527,0.00865774644719525,-0.622602797721165,-0.506331434697967,-0.419640652439227,1.32636316381628,-0.548327931422851,0.336978513013448,-0.274226616544544,0.0886391462153766,0.79944341925866,0.0569378897796094,-1.98216746998425,-0.907529110053315,-1.00082024683259,-0.969847436663032,-1.00479891883579,-2.88948104253701,2.13036926296309,-0.816983582321648,-0.280870266704343,5.67727805197932,1.22852745275737,1.11379636490873,-1.15401154657789,0.331564543223302,-0.842753758885606
"SC184",-0.472397191267867,7.6687211949211,-14.3291114287866,-0.353882735546315,7.55207077590279,-0.280160586904233,1.15921749053194,1.09877945413843,1.26809243012481,1.2374064191135,1.14885461732897,-1.29138514129035,-2.06608385974356,0.238709099943472,0.909594164493135,-4.21903268954731,0.0538548598420819,3.51956915798841,9.36659061765352,4.78256151105482,-0.144480362140591,-5.22373195867537,-0.0347714633698228,1.31608311539224,-7.5019992231192,-2.0379123807385,1.40996257254849,-0.357715805672951,0.803026039538417,-1.02946476043042,-1.98959050858184,-0.550964829063989,1.55263788569423,-0.2011372525216,0.880989267725749,-0.397104137802345,0.30580003765733,1.66596529450631,17.2924491848104,0.687022316542141,-1.53646888406663,0.364004808383218,0.932947518036365,2.43357722139089,-0.504745947930124,2.32689687005417,0.460987995019605,1.15869338421463,-0.731098026260247,1.48018871174112,0.659787737747761,0.0731147954585264,0.529721087885391,-4.9138754204924,-0.390830079081779,-0.375585811306104,-0.507696642999177,0.408298052582477,-132.61451590103,12.2472144583788,-0.507184057303862,1.5259569303917,-0.495954071919748,1.35461950001981,-0.0151354710777095,2.49542704449997,-2.20966314007885,-3.88524309671334,0.461981944264159,6.35278048762421,1.18066420247985,-0.219603474463803,-4.57570994445693,-0.604953054800052,164.262444997996,-0.605674766457155,-0.806159947047214,1.1250569835279,1.04390783544426,0.0716049864111017,0.936893456352273,1.085203163473,1.09317614162162,-0.44510702593904,0.60210736239037,0.930816956340748,-34.4666283092968,-3.34800888011501,-8.31691204015529,0.116969695775382,1.35632971362792,-0.360537741727843,-0.167566175838267,-4.36900959542306,0.931508906384302,-0.787769294876353,17.5683257840815,-1.52304807693562,0.536940831181987,-0.663319955334485,4.75085373307199,-2.87190731023555,-0.252651243486121,-0.291894148253476,8.41299116028251,-8.28309699108505,0.46542975803031,3.45001441163497,-1.14159309146442,-0.141282707946626,1.21565282655537,-0.993824595878853,-0.40152550918793,1.74733269151424,1.12402391474187,-3.63674163443669,-24.7288961708537,19.1981488941567,-1.50530950727285,-0.204774517199729,-0.405970915904243,0.0535572345625008,1.23530400482733,-0.634471121046471,-0.747784192733326,-5.89426063324074,-0.450684296349967,0.392134107875264,-7.37085854273149,-0.0672335177213059,1.08572159457895,4.25881670151888,0.464957215170044,1.69140171585657,-0.176317107853765,-0.11672726413094,0.267018397673915,0.38717940077859,1.07866578036021,6.33466438204631,-0.215621594464859,-0.202732931068991,0.275186127944111,0.0759584130160064,-0.153656410740194,1.14378330969715,-0.19920568002158,-10.8572285496547,17.9285973573279,0.810302132646713,1.18627444668437,49.4511986142888,7.10638822422125,-0.145118549844803,1.0053978494426,-0.11956882422379,1.02636494540602
"SC237",1.62271163046721,-2.81149501605402,7.6479467296613,-0.339405738219203,-2.88649196581356,0.328672740866747,-0.340801870643658,-0.474107316286263,-0.506852307107249,-0.50913413664685,-1.1117733969766,0.56054289765084,1.13052765591997,0.301182282812205,-0.242911952031925,1.58076739324769,1.39160380636985,-1.331823775097,-4.86691380378756,-0.344385360043861,-0.570778681385482,1.03987806524363,1.16248497398954,-1.69370157626665,2.47757081482055,1.40650427987194,0.364788884729844,1.42147084634713,-0.742732007845978,1.33236173489535,0.307016284728875,-1.17490221284814,0.0251611431935809,-0.634270119156524,-0.908833490733698,-0.536502595062071,-0.451248772439211,0.0671251300709408,-6.36808956032065,0.829799884411416,1.506344055192,0.905969411081786,1.66354283660974,0.0439255966942232,-0.473487082933712,-0.368632942287948,0.24806175580445,-0.397737179347616,0.0279080954488489,-0.881550835949165,-0.83976502127994,1.31005393360316,0.705809458733835,3.89809745751786,-0.62654025657692,1.20381903372452,0.131181578068642,-0.507461657101966,63.2568241473954,-5.33422126922647,2.00623362124972,0.182493017939165,-0.193789002219523,0.304923987202285,-0.286976522890106,-0.226729151738923,0.771845432812223,2.87190414827236,-0.927193825526349,-2.22475293294765,-0.11601774395594,-0.621982548419598,2.55730555676677,1.29786248949674,-72.1872206203511,-0.354678523307894,1.94189631270239,0.326920549106447,0.647265468037082,-0.415786603376832,0.704138337195416,1.24959781312348,0.574075510797173,-0.590544502341626,0.491525041116289,0.77371658444782,16.050998374984,1.07852832570371,5.20503713248985,-0.561819108067841,1.18864464577018,2.38247386535743,-0.612862821221692,1.98228331223873,0.648102866713818,-0.0890017963091389,-9.23673172006042,-1.00258239777579,1.35358548985233,0.121290359541557,-1.55008613163958,0.34169688784297,-0.296131595574435,1.16826734175227,-3.05271566550051,4.17964769246669,0.15653862785506,-1.45960389455761,0.718841806616932,2.17360159136454,-1.2159662024206,1.07100313976438,-0.0866978979148853,0.702218797695017,-1.37275830910497,1.27689380102149,12.177126187384,-8.79234497710179,0.942759531243443,1.30583432151355,1.48194438225635,0.99165305076887,-0.311450440118176,1.62105716626142,1.4649116218525,4.14063088127159,0.0105277895406008,1.40300342267295,4.05057139344531,1.1238581557251,-0.0906985936568392,-1.80101465085346,-1.15277907192361,-0.106674862340031,-0.598070433749169,0.189850476154482,2.22496124522868,0.629453553273561,0.57332694621474,-2.08596614732828,-1.2933321224094,0.447237336698369,-0.539205613463968,1.06202437960821,0.300262574861662,1.21221892825276,2.07999263868318,6.28149912897675,-6.97137493251343,1.61643540820454,1.31386822285673,-20.9795926334321,-3.3874753619421,-0.713036881188535,1.26458667626914,-0.612187892970624,1.19008869648383
